,Model,Acc Male,Acc Not Male
0,ConvNet_0,0.42935779816513764,0.41
1,ConvNet_1,0.43027522935779816,0.4166666666666667
2,ConvNet_2,0.44495412844036697,0.45111111111111113
3,ConvNet_3,0.39541284403669724,0.38
4,ConvNet_4,0.4073394495412844,0.3933333333333333
5,ConvNet_5,0.45871559633027525,0.48444444444444446
6,ConvNet_6,0.45871559633027525,0.47444444444444445
7,ConvNet_7,0.48990825688073397,0.47555555555555556
8,ConvNet_8,0.43853211009174314,0.46
9,ConvNet_9,0.46788990825688076,0.4711111111111111
10,ConvNet_10,0.43211009174311926,0.43777777777777777
11,ConvNet_11,0.44220183486238535,0.4588888888888889
12,ConvNet_12,0.4559633027522936,0.45222222222222225
13,ConvNet_13,0.4706422018348624,0.4622222222222222
14,ConvNet_14,0.43669724770642204,0.44
15,ConvNet_15,0.44311926605504587,0.45444444444444443
16,ConvNet_16,0.41192660550458715,0.43333333333333335
17,ConvNet_17,0.42385321100917434,0.43444444444444447
18,ConvNet_18,0.40275229357798165,0.45444444444444443
19,ConvNet_19,0.43027522935779816,0.44333333333333336
20,ConvNet_20,0.3779816513761468,0.41555555555555557
21,ConvNet_21,0.38807339449541284,0.4066666666666667
22,ConvNet_22,0.3440366972477064,0.3711111111111111
23,ConvNet_23,0.3532110091743119,0.3622222222222222
24,ConvNet_24,0.344954128440367,0.3422222222222222
25,VGG11_0,0.37339449541284403,0.3711111111111111
26,VGG11_1,0.3926605504587156,0.4
27,VGG11_2,0.44587155963302755,0.4266666666666667
28,VGG11_3,0.45688073394495415,0.46555555555555556
29,VGG11_4,0.4504587155963303,0.45
30,VGG11_5,0.3211009174311927,0.3688888888888889
31,VGG11_6,0.47155963302752296,0.48333333333333334
32,VGG11_7,0.42752293577981654,0.4022222222222222
33,VGG11_8,0.3926605504587156,0.41888888888888887
34,VGG11_9,0.43761467889908257,0.4444444444444444
35,VGG11_10,0.4559633027522936,0.5211111111111111
36,VGG11_11,0.4073394495412844,0.45111111111111113
37,VGG11_12,0.4706422018348624,0.5233333333333333
38,VGG11_13,0.38256880733944953,0.4288888888888889
39,VGG11_14,0.3908256880733945,0.4411111111111111
40,VGG11_15,0.3908256880733945,0.4066666666666667
41,VGG11_16,0.37155963302752293,0.37666666666666665
42,VGG11_17,0.2963302752293578,0.31666666666666665
43,VGG11_18,0.38623853211009174,0.39666666666666667
44,VGG11_19,0.41192660550458715,0.4288888888888889
45,VGG11_20,0.318348623853211,0.39555555555555555
46,VGG11_21,0.37522935779816513,0.4311111111111111
47,VGG11_22,0.28256880733944956,0.33111111111111113
48,VGG11_23,0.3660550458715596,0.39
49,VGG11_24,0.3229357798165138,0.3688888888888889
50,ResNet18ImageNet_0,0.4706422018348624,0.4811111111111111
51,ResNet18ImageNet_1,0.3697247706422018,0.3788888888888889
52,ResNet18ImageNet_2,0.3697247706422018,0.37333333333333335
53,ResNet18ImageNet_3,0.38623853211009174,0.39222222222222225
54,ResNet18ImageNet_4,0.4724770642201835,0.4711111111111111
55,ResNet18ImageNet_5,0.42752293577981654,0.43555555555555553
56,ResNet18ImageNet_6,0.47155963302752296,0.4777777777777778
57,ResNet18ImageNet_7,0.47155963302752296,0.5022222222222222
58,ResNet18ImageNet_8,0.4944954128440367,0.5188888888888888
59,ResNet18ImageNet_9,0.47339449541284406,0.46
60,ResNet18ImageNet_10,0.3779816513761468,0.4211111111111111
61,ResNet18ImageNet_11,0.43394495412844036,0.46111111111111114
62,ResNet18ImageNet_12,0.41100917431192663,0.4111111111111111
63,ResNet18ImageNet_13,0.41284403669724773,0.43
64,ResNet18ImageNet_14,0.4018348623853211,0.44333333333333336
65,ResNet18ImageNet_15,0.4596330275229358,0.4588888888888889
66,ResNet18ImageNet_16,0.45504587155963305,0.46111111111111114
67,ResNet18ImageNet_17,0.37706422018348623,0.4011111111111111
68,ResNet18ImageNet_18,0.4504587155963303,0.46111111111111114
69,ResNet18ImageNet_19,0.4871559633027523,0.5066666666666667
70,ResNet18ImageNet_20,0.3623853211009174,0.4011111111111111
71,ResNet18ImageNet_21,0.43394495412844036,0.4533333333333333
72,ResNet18ImageNet_22,0.42110091743119266,0.4622222222222222
73,ResNet18ImageNet_23,0.40091743119266054,0.4222222222222222
74,ResNet18ImageNet_24,0.42844036697247706,0.45111111111111113
